"sync_date","HostID","UU","Played","TimeSpent","Type","interface","user_agent"
"2020-10-01","05",1,1,129,"zip","AN","Mozilla/5.0 (Linux; Android 10; POCO F1"
"2020-10-01","26",1,2,107,"zip","AN","Mozilla/5.0 (Linux; Android 9; SM-A305F"
"2020-10-01","146",2,3,305,"zip","AN","Mozilla/5.0 (Linux; Android 10; GM1911"
"2020-10-01","17",1,1,81,"zip","AN","Mozilla/5.0 (Linux; Android 9; Redmi Note 6 Pro"
"2020-10-01","12",2,5,320,"zip","AN","Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X"
"2020-10-01","174",1,4,351,"zip","AN","Mozilla/5.0 (Linux; Android 10; RMX1901"
"2020-10-01","160",2,3,45,"zip","AN","Mozilla/5.0 (Linux; Android 10; SM-G973U"
"2020-10-01","128",1,1,110,"zip","AN","Mozilla/5.0 (Linux; Android 10; Mi A3"
"2020-10-01","203",4,13,3374,"zip","AN","Mozilla/5.0 (Linux; Android 10; POCO F1"
"2020-10-01","21",3,6,686,"zip","AN","Mozilla/5.0 (Linux; Android 10; CPH2127"
"2020-10-01","13",2,5,380,"zip","AN","Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X"
"2020-10-01","185",2,7,356,"zip","AN","Mozilla/5.0 (Linux; Android 5.1.1; A37f Build/LMY47V"
"2020-10-01","74",1,5,324,"zip","AN","Mozilla/5.0 (Linux; Android 10; Nokia 5.1 Plus"
"2020-10-01","04",1,3,113,"zip","AN","Mozilla/5.0 (Linux; Android 10; RMX1851"
"2020-10-01","144",1,2,9,"zip","AN","Mozilla/5.0 (Linux; Android 10; ASUS_X00TD"
"2020-10-01","167",3,14,2240,"zip","AN","Mozilla/5.0 (Linux; Android 5.1.1; SM-T285YD"
"2020-10-01","216",1,12,1392,"zip","AN","Mozilla/5.0 (Linux; Android 9; SM-T385"
"2020-10-01","131",1,6,1119,"zip","AN","Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X"
"2020-10-01","188",1,1,53,"zip","AN","Mozilla/5.0 (Linux; Android 7.1.2; Micromax_HS3"
"2020-10-01","38",1,1,85,"zip","AN","Mozilla/5.0 (Linux; Android 9; LM-V405"
"2020-10-01","155",2,13,1999,"zip","AN","Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X"
"2020-10-01","35",1,2,327,"zip","AN","Mozilla/5.0 (Linux; Android 9; vivo 1907"
"2020-10-01","24",2,7,640,"zip","AN","Mozilla/5.0 (Linux; Android 10; SM-A750F"
"2020-10-01","147",5,27,2626,"zip","AN","Mozilla/5.0 (iPhone; CPU iPhone OS 13_6_1 like Mac OS X"
"2020-10-01","204",6,16,907,"zip","AN","Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X"
"2020-10-01","151",5,16,2016,"zip","AN","Mozilla/5.0 (Linux; Android 9; DUK-L09"
"2020-10-01","210",3,6,636,"zip","AN","Mozilla/5.0 (Linux; Android 10; Mi A3"
"2020-10-01","110",2,4,847,"zip","AN","Mozilla/5.0 (Linux; Android 10; SM-M215F"
"2020-10-01","176",2,8,980,"zip","AN","Mozilla/5.0 (Linux; Android 8.1.0; CPH1809"
"2020-10-01","157",1,1,25,"zip","AN","Mozilla/5.0 (Linux; Android 9; Redmi Note 6 Pro"
"2020-10-01","148",1,3,281,"zip","AN","Mozilla/5.0 (Linux; Android 10; SM-N960F"
"2020-10-01","206",6,20,2508,"zip","AN","Mozilla/5.0 (Linux; Android 9; vivo 1723 Build/PKQ1.190118.001; wv"
"2020-10-01","172",1,1,38,"zip","AN","Mozilla/5.0 (Linux; Android 8.1.0; vivo 1814 Build/O11019; wv"
"2020-10-01","145",2,3,436,"zip","AN","Mozilla/5.0 (Linux; Android 9; RMX1911"
"2020-10-01","98",1,2,244,"zip","AN","Mozilla/5.0 (Linux; Android 9; RMX1911"
"2020-10-01","100",1,1,268,"zip","AN","Mozilla/5.0 (Linux; Android 10; SM-A507FN"
"2020-10-01","126",1,1,128,"zip","AN","Mozilla/5.0 (Linux; Android 7.0; Redmi Note 4"
"2020-10-01","18",5,8,787,"zip","AN","Mozilla/5.0 (Linux; Android 8.1.0; vivo 1820 Build/O11019; wv"
"2020-10-01","180",1,1,58,"zip","AN","Mozilla/5.0 (Linux; Android 9; Redmi Note 7 Pro"
"2020-10-01","202",1,1,54,"zip","AN","Mozilla/5.0 (Linux; Android 9; ASUS_X00TD"
"2020-10-02","130",3,8,1687,"zip","AN","Mozilla/5.0 (Linux; Android 10; SM-M307F"
"2020-10-02","120",2,11,1699,"zip","AN","Mozilla/5.0 (Linux; Android 10; RMX1825"
"2020-10-02","111",5,23,1859,"zip","AN","Mozilla/5.0 (Linux; Android 10; SAMSUNG SM-M307F Build/QP1A.190711.020"
"2020-10-02","17",1,1,22,"zip","AN","Mozilla/5.0 (Linux; Android 10; Mi A3"
"2020-10-02","160",1,2,205,"zip","AN","Mozilla/5.0 (Linux; Android 7.0; Redmi Note 4"
"2020-10-02","128",1,1,87,"zip","AN","Mozilla/5.0 (Linux; Android 10; SM-J600GF"
"2020-10-02","143",1,4,191,"zip","AN","Mozilla/5.0 (Linux; Android 10; SM-A307FN"
"2020-10-02","213",2,3,267,"zip","AN","Mozilla/5.0 (Linux; Android 10; vivo 1919"
"2020-10-02","13",2,10,1620,"zip","AN","Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_4 like Mac OS X"
"2020-10-02","171",5,16,1727,"zip","AN","Mozilla/5.0 (Linux; Android 9; vivo 1904 Build/PPR1.180610.011; wv"
"2020-10-02","181",2,11,763,"zip","AN","Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X"
"2020-10-02","75",1,4,288,"zip","AN","Mozilla/5.0 (iPhone; CPU iPhone OS 13_3 like Mac OS X"
"2020-10-02","04",3,3,250,"zip","AN","Mozilla/5.0 (Linux; Android 6.0.1; SM-J700F"
"2020-10-02","144",1,2,118,"zip","AN","Mozilla/5.0 (Linux; Android 10; ONEPLUS A6010"
"2020-10-02","96",1,1,74,"zip","AN","Mozilla/5.0 (Linux; Android 10; JSN-L42"
"2020-10-02","167",1,1,15,"zip","AN","Mozilla/5.0 (Linux; Android 9; SM-N960F"
"2020-10-02","216",1,1,45,"zip","AN","Mozilla/5.0 (Linux; Android 9; SM-T295"
"2020-10-02","154",2,10,935,"zip","AN","Mozilla/5.0 (iPhone; CPU iPhone OS 13_7 like Mac OS X"
"2020-10-02","59",3,14,893,"zip","AN","Mozilla/5.0 (Linux; Android 9; Mi A1"
"2020-10-02","177",1,2,354,"zip","AN","Mozilla/5.0 (Linux; Android 10; RMX2001"
