"sync_date","HostID","UU","Played","TimeSpent","Type","interface","user_agent"
"2020-10-01","149",7,23,12040,"video","AN","Mozilla/5.0 (Linux; Android 8.0.0; SM-J600G"
"2020-10-01","204",13,64,34954,"video","AN","Mozilla/5.0 (Linux; Android 9; vivo 1902"
"2020-10-01","163",3,5,17,"video","AN","Mozilla/5.0 (Linux; U; Android 10; en-us; CPH1945 Build/QP1A.190711.020"
"2020-10-01","172",9,28,45981,"video","AN","Mozilla/5.0 (iPhone; CPU iPhone OS 13_6 like Mac OS X"
"2020-10-01","151",15,56,33553,"video","AN","Mozilla/5.0 (Linux; Android 9; Redmi 7"
"2020-10-01","21",10,23,11826,"video","AN","Mozilla/5.0 (Linux; Android 9; SM-G955F"
"2020-10-01","180",8,38,4260,"video","AN","Mozilla/5.0 (Linux; Android 10; vivo 1933"
"2020-10-01","155",12,32,1164,"video","AN","Mozilla/5.0 (Linux; Android 10; ONEPLUS A6010"
"2020-10-01","131",11,20,10046,"video","AN","Mozilla/5.0 (Linux; Android 8.1.0; Redmi Note 5 Pro Build/OPM1.171019.011"
"2020-10-01","13",14,44,11938,"video","AN","Mozilla/5.0 (Linux; Android 10; SM-A515F"
"2020-10-01","35",10,54,4245,"video","AN","Mozilla/5.0 (Linux; Android 6.0.1; CPH1701"
"2020-10-01","10",3,15,8370,"video","AN","Mozilla/5.0 (Linux; Android 10; SM-A515F"
"2020-10-01","207",1,10,2945,"video","AN","Mozilla/5.0 (iPhone; CPU iPhone OS 13_7 like Mac OS X"
"2020-10-01","26",8,38,9712,"video","AN","Mozilla/5.0 (Linux; Android 9; SM-A305F"
"2020-10-01","203",17,53,12542,"video","AN","Mozilla/5.0 (Linux; Android 9; moto x4"
"2020-10-01","145",21,94,25727,"video","AN","Mozilla/5.0 (Linux; U; Android 9; en-in; Redmi 6 Pro Build/PKQ1.180917.001"
"2020-10-01","02",3,4,1709,"video","AN","Mozilla/5.0 (Linux; Android 10; SM-M307F"
"2020-10-01","98",15,62,13660,"video","AN","Mozilla/5.0 (Linux; Android 9; vivo 1901"
"2020-10-01","173",6,26,21819,"video","AN","Mozilla/5.0 (Linux; Android 9; SM-G965F"
"2020-10-01","148",6,16,2335,"video","AN","Mozilla/5.0 (Linux; Android 9; Redmi 8"
"2020-10-01","118",7,26,2845,"video","AN","Mozilla/5.0 (Linux; Android 9; SM-A507FN"
"2020-10-01","38",9,36,9270,"video","AN","Mozilla/5.0 (iPhone; CPU iPhone OS 13_7 like Mac OS X"
"2020-10-01","24",10,31,34566,"video","AN","Mozilla/5.0 (Linux; Android 9; SM-J701F"
