"HostID","2020-12-12","2020-12-13","2020-12-14","2020-12-15","2020-12-16","2020-12-17","2020-12-18","rowSum"
"39",0,87,36,40,37,12,56,268
"74",0,73,38,35,37,38,30,251
"78",0,35,42,44,8,75,39,243
"219",0,65,32,29,39,33,41,239
"88",0,32,55,23,43,27,50,230
"58",0,48,56,4,33,31,44,216
"66",0,70,41,41,22,34,0,208
"71",0,0,0,25,69,19,94,207
"45",0,0,29,39,43,20,68,199
"84",0,28,57,43,18,12,28,186
"201",0,43,36,13,20,19,50,181
"61",0,54,30,70,4,15,0,173
"15",0,16,53,9,40,42,9,169
"92",0,1,40,33,40,38,0,152
"148",0,32,25,27,17,14,35,150
"48",0,96,52,0,0,0,0,148
"198",0,35,35,10,7,12,47,146
"191",0,18,17,28,40,39,0,142
"127",0,38,0,33,18,17,34,140
"99",0,30,42,43,3,21,0,139
"194",0,16,13,39,18,20,32,138
"60",0,24,26,0,29,3,55,137
"159",0,22,41,30,12,13,17,135
"40",0,26,36,33,40,0,0,135
"203",0,98,5,0,30,0,0,133
"218",0,4,21,0,50,22,36,133
"82",0,31,56,26,20,0,0,133
"57",0,0,38,35,39,21,0,133
"13",0,0,0,15,50,10,58,133
"72",0,62,12,6,22,9,21,132
"212",0,29,46,31,24,0,0,130
"190",0,25,35,19,12,12,24,127
"37",0,0,0,20,47,57,0,124
"217",0,29,31,10,0,28,25,123
"41",0,0,0,34,24,64,0,122
"195",0,17,30,15,34,21,0,117
"193",0,20,11,29,7,30,16,113
"79",0,51,12,17,31,0,0,111
"20",0,0,0,40,43,27,0,110
"67",0,32,39,1,29,5,0,106
"90",0,0,0,27,23,55,0,105
"35",0,0,50,54,0,0,0,104
"199",0,35,11,12,11,0,24,93
"76",0,29,26,4,34,0,0,93
"114",0,0,20,28,41,0,0,89
"302",0,0,36,0,42,11,0,89
"173",0,0,37,0,25,26,0,88
"52",0,0,25,42,0,15,0,82
"68",0,37,38,6,0,0,0,81
"132",0,0,37,0,22,20,0,79
"305",0,0,32,44,0,0,0,76
"215",0,52,21,0,0,0,0,73
"200",0,0,27,40,0,0,0,67
"46",0,0,0,15,18,17,15,65
"192",0,0,0,0,0,21,41,62
"64",0,41,19,0,0,0,0,60
"63",0,29,24,5,0,0,0,58
"208",0,0,26,32,0,0,0,58
"36",0,0,45,0,12,0,0,57
"83",0,0,0,0,29,8,20,57
"93",0,0,15,0,0,36,0,51
"115",0,0,20,0,21,6,0,47
"001",0,0,0,0,0,0,45,45
"205",0,0,0,0,0,0,35,35
"49",0,0,34,0,0,0,0,34
"43",0,0,33,0,0,0,0,33
"214",0,0,0,32,0,0,0,32
"08",0,0,0,0,0,0,28,28
"47",0,9,1,0,17,0,0,27
"204",0,0,0,0,12,0,0,12
"120",0,1,6,0,0,0,0,7
"104",0,0,1,1,0,5,0,7
"146",0,0,0,7,0,0,0,7
"31",0,0,0,4,1,0,2,7
"206",0,0,0,0,0,0,4,4
"170",0,1,0,0,0,1,0,2
"24",0,2,0,0,0,0,0,2
"121",0,0,0,0,0,0,2,2
"174",0,0,0,0,0,0,2,2
"161",0,0,1,0,0,0,0,1
"162",0,0,0,1,0,0,0,1
"30",0,0,0,1,0,0,0,1
"7PRO2",0,0,0,1,0,0,0,1
"105",0,0,0,0,0,0,1,1
"32",0,0,0,0,0,0,1,1
