"HostID","2020-12-12","2020-12-13","2020-12-14","2020-12-15","2020-12-16","2020-12-17","2020-12-18","rowSum"
"39",0,30,1,12,6,0,12,61
"201",0,24,10,4,6,3,7,54
"88",0,8,4,3,10,5,21,51
"114",0,0,19,8,23,0,0,50
"71",0,0,0,7,23,2,15,47
"74",0,17,7,1,16,4,1,46
"84",0,8,3,12,1,0,22,46
"194",0,7,3,9,2,6,16,43
"20",0,0,0,4,21,15,0,40
"66",0,2,26,3,0,6,0,37
"199",0,7,2,12,14,0,1,36
"219",0,2,2,6,0,0,26,36
"127",0,9,0,2,18,1,5,35
"190",0,6,6,12,3,4,4,35
"45",0,0,3,6,5,6,12,32
"191",0,14,4,4,4,5,0,31
"48",0,17,13,0,0,0,0,30
"148",0,0,5,10,2,9,4,30
"82",0,16,3,3,7,0,0,29
"78",0,0,10,7,0,7,5,29
"212",0,1,19,2,6,0,0,28
"79",0,21,0,0,7,0,0,28
"35",0,0,10,17,0,0,0,27
"193",0,3,2,11,5,5,0,26
"76",0,3,0,0,22,0,0,25
"41",0,0,0,9,2,14,0,25
"159",0,3,4,10,3,1,3,24
"99",0,3,8,13,0,0,0,24
"195",0,1,7,7,7,1,0,23
"58",0,4,9,0,0,1,9,23
"302",0,0,0,0,21,1,0,22
"198",0,8,5,1,1,2,3,20
"192",0,0,0,0,0,10,10,20
"203",0,13,3,0,3,0,0,19
"36",0,0,15,0,4,0,0,19
"13",0,0,0,2,12,2,3,19
"173",0,0,8,0,8,1,0,17
"37",0,0,0,1,6,10,0,17
"90",0,0,0,4,5,8,0,17
"15",0,1,3,0,2,10,0,16
"60",0,2,1,0,0,0,13,16
"200",0,0,8,8,0,0,0,16
"57",0,0,2,2,11,1,0,16
"115",0,0,2,0,13,0,0,15
"132",0,0,12,0,2,1,0,15
"43",0,0,15,0,0,0,0,15
"93",0,0,8,0,0,7,0,15
"67",0,2,4,6,2,0,0,14
"92",0,0,2,1,4,7,0,14
"72",0,3,0,2,1,0,7,13
"83",0,0,0,0,7,1,5,13
"61",0,8,2,1,1,0,0,12
"217",0,0,3,3,0,4,2,12
"001",0,0,0,0,0,0,12,12
"305",0,0,8,3,0,0,0,11
"52",0,0,2,3,0,6,0,11
"204",0,0,0,0,11,0,0,11
"40",0,3,0,2,3,0,0,8
"218",0,0,0,0,6,0,2,8
"63",0,5,2,0,0,0,0,7
"49",0,0,7,0,0,0,0,7
"64",0,2,4,0,0,0,0,6
"68",0,6,0,0,0,0,0,6
"08",0,0,0,0,0,0,6,6
"46",0,0,0,3,1,0,1,5
"205",0,0,0,0,0,0,4,4
"47",0,3,0,0,0,0,0,3
"161",0,0,3,0,0,0,0,3
"208",0,0,0,2,0,0,0,2
"104",0,0,0,0,0,1,0,1
"32",0,0,0,0,0,0,1,1
