"HostID","2020-12-12","2020-12-13","2020-12-14","2020-12-15","2020-12-16","2020-12-17","2020-12-18","rowSum"
"39",0,83,35,30,31,17,61,257
"48",0,120,57,0,0,0,0,177
"74",0,34,21,28,25,26,41,175
"78",0,14,14,45,6,45,43,167
"148",0,29,25,18,22,19,49,162
"66",0,44,35,41,14,24,0,158
"88",0,27,41,21,26,17,22,154
"219",0,54,17,8,19,16,25,139
"61",0,40,30,57,2,9,0,138
"58",0,31,38,4,14,16,29,132
"57",0,0,67,21,29,10,0,127
"71",0,0,0,20,26,12,68,126
"195",0,32,35,12,27,19,0,125
"84",0,18,36,41,10,5,14,124
"127",0,41,0,22,12,20,26,121
"92",0,1,19,24,39,33,0,116
"45",0,0,26,10,21,18,40,115
"194",0,12,18,25,23,17,19,114
"37",0,0,0,23,34,57,0,114
"191",0,9,8,17,36,40,0,110
"201",0,17,23,6,13,10,40,109
"190",0,23,35,15,1,9,25,108
"198",0,36,30,2,9,6,25,108
"159",0,21,23,34,4,10,15,107
"215",0,92,10,0,0,0,0,102
"15",0,10,28,11,22,28,2,101
"60",0,12,27,0,9,0,52,100
"218",0,2,14,0,37,18,26,97
"72",0,32,30,2,12,4,17,97
"203",0,69,3,0,21,0,0,93
"302",0,0,53,0,28,12,0,93
"193",0,8,10,18,4,41,10,91
"199",0,39,4,5,7,0,35,90
"13",0,0,0,12,27,5,43,87
"217",0,7,28,4,0,31,15,85
"41",0,0,0,26,13,43,0,82
"76",0,9,25,3,43,0,0,80
"35",0,0,48,32,0,0,0,80
"82",0,10,32,20,15,0,0,77
"305",0,0,49,26,0,0,0,75
"212",0,10,22,28,14,0,0,74
"99",0,17,20,24,0,11,0,72
"79",0,31,18,7,14,0,0,70
"40",0,10,15,15,27,0,0,67
"64",0,38,27,0,0,0,0,65
"20",0,0,0,31,23,11,0,65
"200",0,0,25,38,0,0,0,63
"46",0,0,0,13,16,19,14,62
"67",0,17,28,0,13,2,0,60
"114",0,0,12,16,32,0,0,60
"68",0,28,27,2,0,0,0,57
"208",0,0,35,22,0,0,0,57
"52",0,0,16,31,0,10,0,57
"132",0,0,22,0,9,24,0,55
"173",0,0,22,0,18,15,0,55
"90",0,0,0,7,23,21,0,51
"83",0,0,0,0,23,7,16,46
"36",0,0,36,0,9,0,0,45
"192",0,0,0,0,0,11,27,38
"115",0,0,6,0,23,3,0,32
"204",0,0,0,0,30,0,0,30
"001",0,0,0,0,0,0,30,30
"49",0,0,26,0,0,0,0,26
"63",0,16,5,4,0,0,0,25
"43",0,0,25,0,0,0,0,25
"08",0,0,0,0,0,0,24,24
"93",0,0,3,0,0,19,0,22
"47",0,3,0,0,12,0,0,15
"104",0,0,2,2,0,9,0,13
"214",0,0,0,13,0,0,0,13
"31",0,0,0,3,7,0,0,10
"24",0,9,0,0,0,0,0,9
"120",0,0,8,0,0,0,0,8
"161",0,0,7,0,0,0,0,7
"146",0,0,0,4,0,0,0,4
"205",0,0,0,0,0,0,4,4
"170",0,1,0,0,0,2,0,3
"174",0,0,0,0,0,0,3,3
"121",0,0,0,0,0,0,2,2
"162",0,0,0,1,0,0,0,1
"105",0,0,0,0,0,0,1,1
